Data,ret_vwra11,ret_divo11,ret_b5p211,ret_cdib11,ret_gold11,ret_carteira_nominal,ret_ipca,ret_carteira_real,cdi_nominal,cdi_real
2013-01-01,0.0173163522178234,-0.0189788635777047,0.0021522610086524,0.0057750858552332,-0.0350008431653493,0.0007987494877612,0.008599679108165,-0.0077344161236513,0.0059,-0.0026766606851910124
2013-02-01,-0.0075110961978589,-0.0085590746540105,-0.0052071531004738,0.0046750858552332,-0.0330596933468424,-0.0074672354049297,0.005999823858382,-0.0133867411742286,0.0048,-0.0011926680600999884
2013-03-01,0.0368011249777759,-0.0104285992834469,0.0064131723320819,0.0052750858552332,-0.0029960820505657,0.0116338367597095,0.0047001017717032,0.0069012981841838,0.0054,0.0006966240244852262
2013-04-01,0.0223811107184641,-0.000993499885349,0.0090357466235666,0.0058750858552332,-0.0720013051406341,0.006823620923626,0.0055004601870156,0.0013159225569765,0.006,0.0004968071450623945
2013-05-01,0.0620058450312197,-0.025128845155103,-0.0120600450682186,0.0056750858552332,0.0116710352923716,0.009619272508438,0.0036992704367089,0.0058981830973667,0.0058,0.002092987038216254
2013-06-01,0.0085854202649446,-0.0730687418546025,-0.0064999211191651,0.0057750858552332,-0.0134323557665574,-0.0150209542346693,0.0026009907508337,-0.0175762293754631,0.0059,0.003290450817025059
2013-07-01,0.0824963113071663,0.0222374531121922,0.0085617131171105,0.0069750858552332,-0.0106228015476501,0.0324386834768117,0.0002987147193695,0.0321303709427027,0.0070999999999999995,0.0067992542433072956
2013-08-01,0.0139420419563374,0.0123378168417993,-0.0045680607256637,0.0068750858552332,0.0885905165240668,0.0095962317839606,0.0023997654040994,0.0071792378931374,0.006999999999999999,0.004589221540814981
2013-09-01,-0.0116148796448714,0.0609311673147709,0.0119407662749078,0.0068750858552332,-0.0626378065204786,0.0106899400461936,0.0034997785799595,0.0071650852543374,0.006999999999999999,0.003488014142856599
2013-10-01,0.0269111403954427,0.0585042137300559,0.0046924437721322,0.0078750858552332,-0.0361937992634326,0.0202352267030869,0.005699400105376,0.014453450599839,0.008,0.002287562162593515
2013-11-01,0.0699314670464819,-0.0352866648721864,-0.0002237495117629,0.0069750858552332,0.0222062463956222,0.0152916739473448,0.0054011648006808,0.0098373758584462,0.0070999999999999995,0.0016897088036058605
2013-12-01,0.024460240320048,-0.0218706626154662,0.0115328341708063,0.0076750858552332,-0.0355005899900111,0.0061857980345047,0.0091995736137817,-0.002986302866226,0.0078000000000000005,-0.0013868155024779893
2014-01-01,-0.006049804756919,-0.0729696692496226,-0.0080679282510701,0.0082750858552332,0.0539116079564176,-0.0165267118868457,0.0054987825622019,-0.0219050433784937,0.0084,0.002885351517189383
2014-02-01,0.0066719852804857,-0.0224097429563013,0.0285011284389136,0.0076750858552332,0.0044769736327459,0.0095277013428498,0.0068997515880897,0.0026099418046485,0.0078000000000000005,0.0008940794855598622
2014-03-01,-0.0253871313877882,0.0707249379281473,0.0088321281245784,0.0074750858552332,-0.0037527634672515,0.0102478155385234,0.0092004846175353,0.0010377828161518,0.0076,-0.0015858936276094138
2014-04-01,-0.0031652513952956,0.0216039925667084,0.0129965892040022,0.0080750858552332,-0.0405116598354005,0.0069480300773455,0.0067002190653553,0.0002461616748432,0.008199999999999999,0.0014897989552808966
2014-05-01,0.0225908004233261,-0.029038265676522,0.0145129353885788,0.0084750858552332,-0.0060747714658324,0.006894776866595,0.0045993120142693,0.0022849556284516,0.0086,0.003982371815195673
2014-06-01,0.002188949500242,0.0453816284100427,0.010926780809537,0.0080750858552332,-0.0244115022557637,0.0132869020358694,0.0039999492714106,0.0092499534200158,0.008199999999999999,0.004183317670122699
2014-07-01,0.0167064834379901,0.0589515429131612,0.0083979387778172,0.0092750858552332,0.0547577674118064,0.0233630717885082,0.0001010529719678,0.0232596683579258,0.009399999999999999,0.009298007436747469
2014-08-01,0.0090964208184496,0.0777774307165946,0.0133610610000565,0.0084750858552332,-0.024792497270429,0.0228129662181166,0.0025008083420903,0.0202614877783671,0.0086,0.006083976797980117
2014-09-01,0.0588267904598978,-0.129881934953106,-0.0001332776562257,0.0088750858552332,0.0449270203640299,-0.005691555604179,0.0056997142583568,-0.0113267108472195,0.009000000000000001,0.0032815816638436246
2014-10-01,0.0036076488904113,-0.0566258220064084,0.0092059313507559,0.0092750858552332,-0.0153412816042503,-0.0068638069813067,0.0041991962397651,-0.0110167417604967,0.009399999999999999,0.005179055888223649
2014-11-01,0.0645118094535974,-0.0285783495618928,0.0103014465844384,0.0082750858552332,0.0066704876679628,0.0185057302336358,0.0050998003992015,0.0133379091599756,0.0084,0.0032834546375271056
2014-12-01,0.0172622020823536,-0.1091865918047371,0.0002432688114855,0.0094750858552332,0.06003110565609,-0.0130860406360809,0.0077995452333905,-0.0207239484957643,0.0096,0.0017865207174632136
2015-01-01,-0.0130270272590136,-0.1121926409523976,0.0203714941557295,0.0091750858552332,0.0435508724818662,-0.0155617407890368,0.0123994423453024,-0.027618726329565,0.009300000000000001,-0.0030614816797234212
2015-02-01,0.1404247153765265,0.1010589830176245,0.0120434554323651,0.0080750858552332,0.0599358716849254,0.0705571412664368,0.0121989197605956,0.0576548940791639,0.008199999999999999,-0.003950725181115056
2015-03-01,0.0971454300697924,-0.041807346457011,0.0101277206665937,0.0102750858552332,0.0704951141395553,0.0288717579959124,0.0132008441617752,0.0154667398121857,0.0104,-0.002764352376840362
2015-04-01,-0.0399892879500497,0.1178545331301872,0.0044305779489208,0.0093750858552332,-0.0514895892962381,0.0112406262485406,0.0071003923838623,0.0041110438403049,0.0095,0.0023826895851541963
2015-05-01,0.0606965654285325,-0.0697954128731366,0.0161468353681248,0.0096750858552332,0.0613705398116588,0.0142609024845269,0.0073989621194812,0.0068115420236376,0.0098,0.002383403170743037
2015-06-01,-0.0473238207113672,-0.0254401190517941,0.0083028795121016,0.0105750858552332,-0.0382888837692755,-0.0173497081146304,0.0079011364167795,-0.0250528981653697,0.010700000000000001,0.0027769227378497963
2015-07-01,0.102729106684329,-0.0352213984807504,0.0176424640835652,0.0116750858552332,0.0435223593308482,0.0335913102018787,0.0061989750347415,0.0272235768936173,0.0118,0.005566518257549502
2015-08-01,0.0010268041076098,-0.1109223677843457,-0.0048531858172371,0.0109750858552332,0.064468895257097,-0.0200455075958645,0.0021996214068815,-0.0221963055339399,0.0111,0.008880844098328788
2015-09-01,0.0495352349856317,-0.0624523581143012,0.0077280563755959,0.0109750858552332,0.0957854344558899,0.0107993474386237,0.0053995605811372,0.0053707869678851,0.0111,0.00566982485606804
