Data,ret_vwra11,ret_divo11,ret_b5p211,ret_cdib11,ret_gold11,ret_carteira_nominal,ret_ipca,ret_carteira_real
2007-02-01,-0.009047849091205373,0.02438165998078312,0.010557204407467102,0.008575085855233214,0.05018365141743919,0.009322795895415473,0.004401193957114913,0.004900035929776614
2007-03-01,-0.01280360751021592,0.07223337017759257,0.013749347843179605,0.010375085855233215,-0.0470502501178921,0.014271572706592638,0.003699604263642353,0.010533000509357127
2007-04-01,0.036512996783251594,0.06745256431409796,0.02344430793505059,0.009275085855233215,0.027822131819423612,0.035676995955548144,0.002500113298185669,0.033094143548983546
2007-05-01,-0.0225777405713532,0.09009151664384318,0.014191615075204167,0.010075085855233215,-0.06887935355223995,0.013981413802594007,0.002799020531173424,0.011151180887170486
2007-06-01,-0.0041727682770079655,0.0502311444904846,0.011296047404340204,0.008875085855233214,-0.01834276589072048,0.01283943337495625,0.0027987212285822682,0.010012689419939047
2007-07-01,-0.03999688196999851,0.007833164383636682,0.0021034175158070045,0.009575085855233215,-0.01234206080615341,-0.009729413455495425,0.0024013066704626773,-0.012101660328288077
2007-08-01,0.04184202347191679,0.024446446487145446,0.005681632509325185,0.009775085855233215,0.0444963984149529,0.022428123556243507,0.004701415282963195,0.01764375764145587
2007-09-01,-0.012941311471533878,0.04611976129065454,0.013330971832492988,0.007875085855233215,0.004408393900938945,0.011288121537476546,0.001800347422415971,0.009470723522378544
2007-10-01,-0.013730777977375985,0.018548632784727515,0.0009216764007975442,0.009075085855233214,0.003761584343857427,0.0006009972340062574,0.003000137382528578,-0.002391963928123908
2007-11-01,-0.020508043890789862,-0.017833692051441696,0.007106750806591844,0.008275085855233214,0.09138850389682518,-0.0018932717672856397,0.0037981853114623654,-0.005669921665560684
2007-12-01,-0.018932793580557994,-0.017951737971802495,0.0058412245026131515,0.008275085855233214,-0.01112492199701054,-0.007076187674571502,0.007401670631188795,-0.01437148530505139
2008-01-01,-0.08764669444470718,-0.00901328423063874,0.013477853106456772,0.009075085855233214,0.1009838809732988,-0.017202575595530595,0.005399726169818653,-0.02248091100189098
2008-02-01,-0.0419315691640848,0.07888556819747228,0.014394995410935252,0.007875085855233215,-0.009854620611775222,0.008856664316816016,0.004901014794073566,0.003936357377003041
2008-03-01,0.023626494676944887,-0.01449954946709131,-0.007719298077770609,0.008275085855233214,0.09047742788409852,0.006037944965523547,0.004801020352702912,0.001231014487212967
2008-04-01,0.01799844567133224,0.14527698768783592,0.017714738517697004,0.008875085855233214,-0.0936755184671737,0.037300805015448635,0.005499300416865083,0.031627575061861535
2008-05-01,-0.020025469987351885,0.09203685217852153,0.005058030352894427,0.008575085855233214,-0.05703393726015216,0.011999999010410569,0.007900786492273326,0.004067079392212181
2008-06-01,-0.10596517580673726,-0.07971281200456515,0.007886603759132083,0.009375085855233214,-0.023499675388990116,-0.04528370311596921,0.00740118703653625,-0.05229782417418838
2008-07-01,-0.039417284315537815,-0.06315339737440662,0.01059968637699038,0.010475085855233214,0.040080913504345395,-0.017688190250767583,0.005298181664052937,-0.022865227784229725
2008-08-01,0.019965052514748116,-0.0804354418056562,0.009923692970195797,0.009975085855233214,-0.06927252865611133,-0.009092967558672397,0.002800264215645054,-0.011860020583081776
2008-09-01,0.026973333594976445,-0.12960376340294366,-0.00280777187815473,0.010875085855233214,0.15830058652741497,-0.010493077734225283,0.0025997414273351005,-0.013058869477585278
2008-10-01,-0.11553294464447217,-0.2022927295295428,-0.005854967452255777,0.011575085855233215,0.07394767447565864,-0.07318427826360792,0.0045010571193933036,-0.07733723606601217
2008-11-01,0.030829044328996247,0.04634654718941866,0.02262259294768665,0.009875085855233215,0.03965676843676791,0.03004365263025732,0.003600713880665074,0.02634806689937874
2008-12-01,0.03883473377816604,-0.003845419300665287,0.0436660867614298,0.010975085855233215,0.07359258333386376,0.032576154437343526,0.0028009068282504046,0.0296920828514895
2009-01-01,-0.09567451339757194,0.003866004833704917,0.027509337627296793,0.010275085855233214,0.04284979606386252,-0.014269173905657092,0.004798019952572785,-0.018976145931427935
2009-02-01,-0.07322009122774276,-0.006633546434526183,0.01565015440644446,0.008375085855233215,0.12680491300700658,-0.010273674949538285,0.005501008002091856,-0.01568838104197834
2009-03-01,0.05539054134999022,0.07289382179320203,0.01563681445386611,0.009575085855233215,-0.04666807769163961,0.03559600295336359,0.0019981318835473605,0.033530871965458786
2009-04-01,0.053739497160923744,0.09033821481360249,0.00576027197028095,0.008275085855233214,-0.09424513362616327,0.0321950985105635,0.00480097795169665,0.0272632303908682
2009-05-01,-0.0031303173030170495,0.08408160434435441,0.021387969487863145,0.007575085855233215,-0.055067450271946816,0.022057795252275348,0.004699877320628154,0.017276719469637047
2009-06-01,-0.016486605550695033,-0.02594670425676837,0.004130171801077109,0.007375085855233214,0.006776094501893759,-0.007775694778274992,0.0035988986828843217,-0.011333804247979251
2009-07-01,0.04431057561110485,0.05989358875945805,0.013556482457425023,0.007675085855233214,-0.05314126572278066,0.0284211744248157,0.0023996494894003018,0.025959231877894506
2009-08-01,0.04422167183416881,0.03035201523299902,0.0065374576479342306,0.006775085855233214,0.023077179511299395,0.02344450092435077,0.0014995528239336586,0.021912089764332565
2009-09-01,-0.014575007410190799,0.07352775421267355,0.006313692037182017,0.006775085855233214,-0.010234557252776,0.012685551864473137,0.0024003921199995393,0.010260530448038985
2009-10-01,-0.034895015885471614,-0.005405952344787135,0.004978465494626105,0.006775085855233214,0.025593014953051885,-0.007939903996334215,0.002799891487459183,-0.01070980918023734
2009-11-01,0.04431124707414558,0.05554923423355307,0.007258293826843287,0.006475085855233214,0.08409222785612402,0.031834904185259465,0.004101276138120724,0.027620349367351915
2009-12-01,0.014479490100770986,0.020559602080303607,0.00987532484077902,0.007075085855233214,0.0012718012364381082,0.01282324173718719,0.0036986898256095024,0.009090927390931425
2010-01-01,0.03008594369220674,-0.03031575980720258,0.011878153509128797,0.006475085855233214,0.060162456577913304,0.01104576967153035,0.007499362073707605,0.0035200097700540667
2010-02-01,-0.02313449433101411,0.004531073753591741,0.012263804319635696,0.005775085855233214,-0.054390652809000906,-0.0035593901684199906,0.007798777720033456,-0.011270273530346264
2010-03-01,0.04710686847380785,0.066932997782434,0.01408595466411744,0.007475085855233214,-0.0008805906295951127,0.033482766725558034,0.005199204942671676,0.028137270347820653
2010-04-01,-0.02715394262582793,-0.020811668061589073,0.0015496509273063008,0.006475085855233214,0.0026440907864431207,-0.011232697197059856,0.005701557863019735,-0.01683825079883805
2010-05-01,-0.051200012109536064,-0.049483474073827804,0.007670651927074168,0.007375085855233214,0.10046472311527443,-0.01679644722827133,0.004300353197176809,-0.021006465205639646
2010-06-01,-0.037842796439343185,-0.0009553946941538438,0.009180410431680608,0.007775085855233215,0.014197744615566776,-0.00677311217442148,0.0,-0.006773112174421447
2010-07-01,0.054434625939242975,0.08023635623512426,0.013326541929384428,0.008475085855233214,-0.05671840411921947,0.0352961098873522,9.965474453044187e-05,0.03519294799857953
2010-08-01,-0.03615923513005159,-0.026266498833761198,0.009727473727471736,0.008775085855233214,0.01810897721432725,-0.010865877661301001,0.0003985792578067304,-0.011259968929049013
2010-09-01,0.057811166307934814,0.058813022877771015,0.0071406574984043125,0.008275085855233214,0.007954294568145226,0.03277368648846529,0.00449829546732472,0.028148769538713925
2010-10-01,0.03942616190761794,0.031224611563697602,0.016058564453403257,0.007975085855233214,0.05987707600429237,0.027888804759362482,0.007500903626982636,0.020236112006434714
2010-11-01,-0.015812545892028296,-0.019436030854303232,0.004693650189908416,0.007975085855233214,0.02921497783513094,-0.0048940066779875595,0.008299097703302616,-0.013084514715267836
2010-12-01,0.042489546156278646,0.014872531475572881,0.013681089508420063,0.009175085855233214,-0.014682339790316967,0.020918443248612008,0.006300615892288031,0.014526302702659422
2011-01-01,0.01916596973515805,-0.026079810817308258,0.007734948449845014,0.008475085855233214,-0.018532952241460787,0.00312491481771239,0.008301286965446408,-0.005133755371187432
2011-02-01,0.020278529317153238,0.006508103169190482,0.007658688342375042,0.008275085855233214,0.0031811660641167805,0.011021467361901585,0.00800019860849921,0.0029972898393999525
2011-03-01,-0.020072615297801133,0.05380390299371185,0.01767746940235404,0.009075085855233214,0.014178434155083242,0.01297265977085947,0.00789975986700342,0.005033139311914736
2011-04-01,0.005088297854626944,-0.01416128989933474,0.007154775003969771,0.008275085855233214,0.004866530381215206,0.002213222189931465,0.007700390364890453,-0.005445237718893936
2011-05-01,-0.018278799568330673,0.007358541522448192,0.008849259777115037,0.009775085855233215,0.02542108469523474,0.0012875808723598501,0.004701324918840788,-0.0033977700255911625
2011-06-01,-0.02742583431999157,-0.0012682265336114718,0.006410027009487562,0.009375085855233214,-0.0019301638658646425,-0.00554513869945631,0.0014994358259570184,-0.007034027452650027
2011-07-01,-0.020231145614152513,-0.03616074425303628,0.012431501716994031,0.009575085855233215,0.025138355855215844,-0.006593219762532946,0.0015996144055669959,-0.008179749722609708
2011-08-01,-0.05540277924829595,0.03272556919813785,0.03888649573946523,0.010575085855233214,0.13998556670972095,0.013006910989172588,0.0036994038846747124,0.009273201785788165
